type,id,parent,title,assignee,sp,sprint,priority,criteria
user_story,US-1,,Amélioration du style CSS,Dimitry,5,Sprint 1,Haute,
user_story,US-2,,Meilleure gestion des messages d'erreur,Dimitry,5,Sprint 1,Haute,
user_story,US-3,,Améliorer l'accessibilité (A11Y),Dimitry + Jorge,8,Sprint 2,Haute,
user_story,US-4,,Créer un nouveau thème,Jorge + Dimitry,5,Reporté,Basse,
user_story,US-5,,Encapsuler l'application,Rachida,5,Sprint 1,Haute,
user_story,US-6,,Implémentation d'une architecture en micro-services,Expert + Rachida,13,Sprint 4+,Moyenne,
user_story,US-7,,Créer une pipeline d'intégration continue,Rachida,8,Sprint 2,Haute,
user_story,US-8,,Mise en place d'un environnement de test,Rachida,8,Sprint 3,Moyenne,
user_story,US-9,,Améliorer le calcul du risque d'inondation,Rachida + Dimitry,8,Sprint 4+,Luxueuse,
user_story,US-10,,Problème de compatibilité avec les navigateurs,Dimitry + Jorge,5,Sprint 3,Moyenne,
user_story,US-11,,Améliorer l'exportation des données,Rachida + Dimitry,5,Sprint 4+,Luxueuse,
user_story,FORM,,Plan de formation tests (bloquant Daily Scrum),Expert,0,Sprint 1,Haute,
formation,FORM-T0,FORM,Aperçu pyramide de tests et outillage,Dimitry + Rachida,0,Sprint 1,,Module certifié : compte-rendu atelier
formation,T-EX1,FORM,Stratégie tests équipe (DoD qui écrit quoi),Expert,0,Sprint 1,,Document stratégie partagé
formation,T-DI1,FORM,Tests unitaires Angular Jasmine/Vitest,Dimitry,0,Sprint 2,,3 tests passants sur US2-T2
formation,T-DI2,FORM,Tests E2E Cypress parcours critiques,Dimitry,0,Sprint 3,,1 scénario Cypress vert
formation,T-RA1,FORM,Tests unitaires Spring JUnit 5 + Mockito,Rachida,0,Sprint 2,,3 tests JUnit mapping erreurs
formation,T-RA2,FORM,Tests intégration Testcontainers,Rachida,0,Sprint 2,,Tests intégration en CI locale
formation,T-ALL1,FORM,Atelier TDD Red-Green-Refactor,Dimitry + Rachida,0,Sprint 2,,1 feature en TDD validée en pair
formation,T-JO1,FORM,Scénarios E2E métier avec Jorge,Jorge + Dimitry,0,Sprint 2,,Scénarios documentés pour Cypress
task,US1-T1,US-1,Auditer les feuilles de style et recenser les anomalies (fontes contrastes débordements) sur les pages principales,Dimitry,1,Sprint 1,,Liste d'anomalies documentée avec captures et pages concernées
task,US1-T2,US-1,Corriger le chargement et la visibilité des polices (fallback @font-face variables CSS),Dimitry,2,Sprint 1,,Toutes les polices s'affichent correctement sur Chrome et Firefox
task,US1-T3,US-1,Harmoniser la typographie et les espacements via variables/thème CSS existant,Dimitry,1,Sprint 2,,Styles cohérents sur les 3 pages principales sans régression visuelle
task,US1-T4,US-1,Revue visuelle des corrections avec Jorge,Jorge,0,Sprint 1,,Validation UX formalisée (commentaires Figma ou checklist)
task,US2-T1,US-2,Cartographier les flux d'erreur front (HTTP validation runtime) et back (exceptions Spring),Expert,1,Sprint 2,,Schéma des flux d'erreur partagé avec l'équipe
task,US2-T2,US-2,Créer/standardiser un composant Angular de notification d'erreur réutilisable,Dimitry,2,Sprint 1,,Composant intégré sur au moins 2 pages ; tests unitaires reportés S2 (TEST-T1)
task,US2-T3,US-2,Mapper les codes HTTP et exceptions métier vers des messages utilisateur clairs,Dimitry + Rachida,2,Sprint 1,,Messages compréhensibles pour les 5 cas d'erreur les plus fréquents
task,US3-T1,US-3,Audit accessibilité des parcours critiques (formulaire recherche résultats navigation),Jorge,2,Sprint 2,,Rapport d'audit avec points bloquants et recommandations
task,US3-T2,US-3,Corriger la navigation clavier et le focus visible sur les composants interactifs,Dimitry,2,Sprint 2,,Parcours complet réalisable au clavier sans piège de focus
task,US3-T3,US-3,Ajouter attributs ARIA labels et textes alternatifs manquants,Dimitry,2,Sprint 3,,Formulaires et boutons conformes aux bonnes pratiques ARIA
